"u11","u12","u13","u14","u15","u21","u22","u23","u24","u25"
1,1,1,0,1,1,1,1,1,0
0,1,1,0,1,0,0,1,0,0
1,0,1,1,0,1,1,1,1,1
1,0,1,0,1,1,1,1,1,1
1,0,1,0,0,1,1,1,1,1
0,1,1,0,0,1,1,0,0,0
1,0,1,1,1,0,0,0,1,1
0,0,0,0,0,1,0,1,1,1
1,0,1,1,1,1,1,1,1,1
0,1,1,1,1,1,0,0,1,1
0,0,0,0,0,1,1,1,1,0
0,0,0,0,0,0,0,1,1,1
1,0,1,1,1,1,1,1,1,1
1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,0,0,1,1,1
0,1,1,1,1,1,1,1,0,1
1,1,0,0,0,0,0,1,1,1
1,1,0,1,1,0,1,1,1,0
1,0,1,1,1,0,1,1,1,1
1,0,1,1,1,0,0,0,0,0
0,0,1,1,1,1,0,1,1,1
0,0,1,0,1,0,0,0,0,0
1,1,0,1,1,1,0,1,1,1
0,1,1,1,1,0,1,1,1,1
1,1,1,0,1,1,1,1,1,0
1,1,1,0,1,0,0,0,0,0
1,0,1,1,0,0,1,1,1,1
1,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,1
0,0,1,0,1,1,1,1,1,1
1,0,0,1,1,1,0,1,1,1
0,0,1,1,1,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0
0,0,1,1,0,1,1,0,0,1
1,0,1,0,0,1,0,0,0,1
0,1,1,0,0,0,0,1,0,1
1,0,1,1,0,0,0,0,0,1
0,1,0,0,0,0,0,1,1,1
1,1,1,1,1,0,1,0,0,1
1,0,0,1,0,0,1,1,1,1
0,1,0,1,1,1,0,1,0,0
0,0,1,1,1,0,1,1,0,1
0,0,0,1,0,0,1,1,1,1
0,0,1,0,0,0,0,0,0,0
0,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,0,0,0,0
0,1,1,1,1,0,0,0,1,0
1,0,1,1,1,1,0,0,1,1
1,1,1,1,1,0,0,0,0,0
0,1,0,1,1,1,0,1,1,0
1,1,0,0,1,1,1,0,0,1
1,0,0,1,1,0,1,1,1,0
1,1,1,1,0,1,1,0,0,1
0,1,1,0,0,0,0,1,1,0
0,0,0,0,0,1,0,0,1,0
0,0,1,1,1,0,1,1,1,1
0,0,1,1,1,1,1,0,0,0
0,0,1,1,1,0,0,0,0,0
0,0,0,0,0,0,1,1,0,0
0,0,1,1,1,0,0,1,0,0
1,1,1,1,0,1,0,1,1,0
0,0,0,1,1,0,1,0,0,0
1,0,1,0,1,1,1,1,1,1
0,1,0,1,1,0,1,1,1,1
1,1,1,1,0,1,1,1,1,1
1,1,1,1,0,0,1,1,0,1
1,1,0,1,1,1,0,1,1,1
0,0,0,0,0,0,0,1,0,1
1,0,1,1,1,1,0,0,0,0
0,1,0,1,0,1,0,1,1,0
1,1,0,1,1,1,1,1,1,0
1,1,1,1,0,0,0,1,1,0
0,1,1,0,1,0,0,0,0,0
0,1,1,0,0,1,1,1,1,1
0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,1,0,0,0
0,1,1,0,0,0,0,1,1,1
0,0,1,1,1,1,1,1,0,1
1,0,1,0,1,0,1,1,0,0
0,0,1,1,1,0,0,1,1,1
0,0,1,1,1,1,1,1,1,1
0,0,0,0,0,0,1,0,0,0
0,1,1,1,1,1,1,1,0,0
1,0,0,1,0,1,1,1,0,1
0,0,0,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,1,1
0,0,1,1,1,1,1,0,0,0
0,0,1,0,0,1,1,1,1,0
0,0,0,1,0,0,0,0,1,0
1,0,1,1,0,0,0,0,0,0
0,0,1,0,1,1,1,1,1,1
1,1,0,1,1,0,0,1,1,0
0,0,1,1,0,0,1,1,1,1
1,1,1,1,1,1,0,0,1,0
1,1,1,1,0,1,1,0,1,1
0,0,1,0,0,0,0,0,0,1
1,0,0,1,0,0,0,0,0,0
0,1,1,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,1,1,1,1,0
1,0,0,1,0,0,1,1,0,0
0,1,0,0,1,0,1,0,0,1
0,0,0,1,0,1,1,1,1,1
0,0,0,1,1,0,1,0,1,1
1,1,1,1,1,0,1,0,1,1
0,1,1,1,0,0,1,0,1,0
1,1,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1
1,1,0,1,1,0,0,1,0,1
1,1,0,1,1,0,1,1,1,1
0,0,1,1,1,1,0,1,1,0
0,0,0,0,0,0,1,1,1,0
0,1,0,0,0,1,0,0,1,1
0,0,1,1,1,1,0,0,0,1
0,0,0,0,0,1,1,1,1,0
0,0,1,1,1,1,1,1,1,1
0,0,1,0,0,1,0,1,1,1
0,0,1,0,1,0,0,0,1,0
1,0,0,0,0,0,0,0,0,0
0,1,1,0,1,1,0,1,1,1
1,1,1,0,1,1,1,0,0,1
0,1,0,0,0,1,1,1,0,1
1,0,0,1,0,0,0,1,0,0
0,0,0,0,0,0,1,1,0,1
0,0,0,0,0,1,1,1,1,0
0,0,1,0,0,0,0,0,1,1
1,0,0,0,0,0,0,1,0,0
0,0,0,1,0,1,1,1,1,1
1,0,0,0,0,0,1,1,0,0
0,1,1,1,1,1,0,1,1,0
1,0,1,1,1,0,1,0,0,1
1,1,1,1,1,1,0,1,1,1
0,0,0,0,0,1,1,1,1,1
1,1,1,1,1,0,1,1,0,1
0,1,0,0,1,0,1,1,0,1
0,0,1,1,1,0,0,1,1,1
0,1,1,1,0,0,0,1,0,1
0,0,1,0,0,0,0,1,0,1
0,0,0,0,0,0,0,1,0,0
1,0,1,1,1,0,0,1,0,0
0,1,0,0,0,0,1,1,1,0
0,1,1,0,1,1,1,0,1,1
0,1,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0
0,0,1,0,1,1,0,1,0,1
1,1,1,0,0,0,1,1,1,0
1,1,1,1,0,1,1,1,0,1
0,0,1,1,0,0,0,0,0,1
0,1,1,0,0,1,0,0,0,1
0,0,0,0,1,0,0,1,0,0
1,1,0,0,0,1,1,1,0,0
1,1,0,1,1,0,1,1,1,1
0,0,0,0,1,0,1,0,1,1
0,1,0,1,0,0,0,0,0,0
1,1,0,1,1,0,0,1,0,0
0,1,1,1,1,1,1,0,1,1
1,0,1,0,1,1,1,0,0,1
1,0,1,1,1,0,1,1,1,1
0,0,1,1,1,1,0,1,1,0
0,1,1,1,1,1,0,1,1,1
0,1,1,1,0,0,1,1,1,1
1,1,1,0,0,1,1,1,1,1
0,0,1,0,1,1,1,1,0,1
1,1,1,0,1,1,1,1,0,1
0,1,1,0,1,1,1,1,1,0
0,1,0,0,0,0,0,1,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,0,0,1,1,1
0,1,0,1,0,0,0,0,0,0
0,0,0,0,1,0,1,1,1,0
0,0,0,0,1,1,1,1,1,1
1,1,1,1,1,0,0,0,1,0
1,1,1,0,0,1,0,0,1,0
0,0,1,0,1,1,0,0,1,0
0,1,0,1,1,1,1,1,1,1
1,0,1,0,1,0,0,0,1,0
0,1,0,1,1,0,0,0,0,1
1,1,1,1,0,0,0,1,1,1
1,0,0,0,1,1,0,1,1,1
1,0,1,1,0,1,1,0,0,0
0,0,0,1,1,0,1,0,1,0
0,0,1,1,0,1,0,1,1,1
1,0,1,0,0,0,0,1,1,1
0,0,0,0,1,0,0,0,0,1
1,0,0,0,0,1,1,1,1,1
0,0,1,1,1,1,1,0,1,1
1,0,1,0,1,1,1,0,1,0
0,1,1,1,1,1,1,1,0,1
0,0,1,1,1,0,0,0,0,1
1,0,0,1,0,0,0,1,1,0
0,1,1,1,1,0,0,0,1,0
0,0,0,1,0,0,0,0,0,0
0,0,0,0,1,1,0,1,1,1
1,0,1,1,1,1,1,1,1,1
1,1,1,1,1,0,0,0,0,0
1,1,0,0,0,0,0,1,1,1
0,0,1,1,1,1,1,1,1,1
1,1,0,1,1,1,1,0,1,0
0,0,1,1,1,1,0,1,1,1
0,0,0,1,1,0,0,0,0,1
0,1,1,1,1,1,0,1,1,0
0,0,1,1,1,1,0,1,1,0
1,1,1,1,1,1,0,0,1,1
1,0,1,0,1,1,1,1,1,0
0,0,1,0,1,1,0,0,1,0
0,1,0,0,1,0,0,0,0,0
0,0,0,1,1,1,1,0,0,0
1,1,1,1,1,0,1,1,1,1
1,1,0,0,0,0,0,1,0,1
0,0,1,0,1,0,1,1,0,1
0,0,0,1,1,1,0,0,0,1
0,0,1,0,1,0,0,1,1,1
0,0,1,1,0,0,0,1,0,0
0,0,1,0,1,1,1,0,1,1
0,0,1,0,0,0,0,1,1,1
1,0,1,1,0,1,1,1,1,1
0,0,1,1,1,1,1,0,0,1
0,0,1,0,0,1,1,1,0,1
1,1,0,0,0,1,0,1,1,1
1,1,0,0,0,1,0,1,1,0
1,0,0,0,0,0,0,0,1,1
0,1,1,1,1,0,0,0,0,0
1,1,0,0,0,0,1,0,1,1
0,0,1,1,1,0,1,1,1,0
0,0,0,0,0,0,1,0,0,0
1,1,0,1,0,1,1,1,1,1
0,1,1,1,0,1,0,1,1,1
0,0,1,0,0,0,0,0,1,1
0,0,1,0,0,1,1,1,1,1
0,1,1,0,0,0,0,0,0,0
0,0,0,1,0,1,1,1,0,1
0,0,0,1,1,0,0,1,1,1
0,1,1,0,1,0,0,1,1,1
1,0,1,1,0,0,0,1,0,0
0,0,1,0,0,1,1,0,0,0
0,0,0,1,1,1,1,1,0,1
1,0,0,0,1,0,1,0,1,1
1,0,1,0,1,1,0,1,0,1
0,0,0,0,0,0,0,1,0,0
1,0,0,0,1,1,1,1,1,1
1,0,0,1,1,1,0,0,0,0
1,0,1,1,1,1,1,1,1,0
1,0,1,0,0,1,0,1,0,1
0,0,0,1,0,0,0,1,0,1
0,0,1,1,1,1,1,0,1,1
0,0,0,1,0,0,0,0,1,1
0,0,1,1,1,0,1,1,1,1
0,0,1,1,1,0,1,1,0,1
0,1,0,0,1,0,1,1,0,1
0,1,1,1,0,0,0,1,0,1
0,1,0,1,0,0,0,0,0,0
0,0,1,0,0,1,0,0,0,1
0,0,0,1,1,0,0,1,1,1
1,0,0,1,1,1,0,1,0,1
0,0,1,0,0,1,0,0,1,0
0,0,0,1,1,1,0,0,0,0
1,0,1,1,0,1,1,0,1,1
1,1,0,0,1,1,0,1,1,1
1,0,0,0,1,1,1,1,1,1
0,0,0,1,0,1,0,1,1,1
0,0,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,0,1,1
0,1,1,1,0,1,1,0,1,1
1,1,1,0,0,1,1,1,0,0
1,1,1,1,1,1,0,0,1,1
0,1,1,1,1,0,1,1,0,0
1,0,1,1,1,0,0,0,0,0
1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,0,0,0,0,0
0,0,1,0,0,1,0,0,1,1
0,0,0,1,0,0,0,0,0,1
0,0,0,0,1,0,1,1,1,0
0,0,1,0,0,0,1,0,0,1
0,0,1,0,0,0,1,0,0,0
1,1,1,1,0,1,0,0,0,1
0,0,0,1,1,1,1,1,0,1
0,0,0,1,1,0,0,0,0,0
0,1,0,0,1,0,1,0,1,1
0,0,0,0,0,0,1,0,1,0
1,1,0,1,1,1,1,0,1,1
0,1,1,1,1,0,1,0,1,0
0,1,0,1,0,1,1,0,1,1
1,1,1,0,1,0,1,0,0,0
0,0,1,1,1,0,1,1,1,0
0,0,0,1,1,1,1,1,0,1
0,1,0,0,0,1,0,0,0,0
0,1,1,1,1,0,1,0,0,0
1,0,1,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,1
0,0,0,0,0,1,1,1,0,1
1,1,1,1,1,0,1,0,0,1
1,1,1,1,1,0,0,1,1,1
0,0,1,1,1,0,0,0,1,1
0,1,0,0,0,1,1,1,1,1
1,1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,0,1,1,1
0,0,0,0,1,1,1,1,1,1
1,1,0,1,0,1,1,1,1,1
0,0,0,1,0,0,0,1,0,0
0,0,0,0,0,1,1,1,1,1
1,0,0,0,0,1,0,0,1,1
0,0,1,0,1,1,1,1,1,0
0,0,0,1,1,1,1,1,0,1
0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,1,1,0,1,0
0,1,0,1,1,0,1,1,1,0
0,1,0,1,1,1,0,0,0,1
1,0,1,0,0,0,0,0,0,0
1,1,1,1,1,0,1,0,1,1
1,1,1,1,1,0,0,0,0,0
0,1,0,1,1,0,0,1,0,0
0,0,1,0,0,1,0,0,1,1
0,0,0,1,1,0,0,0,1,1
1,0,0,0,0,0,0,1,1,1
0,1,0,0,1,1,0,1,0,0
1,1,0,0,0,1,0,1,1,1
1,0,1,1,1,1,0,1,0,1
0,0,0,1,0,1,1,1,1,1
1,0,0,0,1,1,1,1,1,1
0,0,1,1,0,1,1,1,1,1
1,0,1,1,1,1,1,1,1,1
0,0,0,0,1,0,1,1,1,0
0,0,1,0,0,0,1,1,1,1
0,0,1,0,0,1,1,1,1,1
1,0,1,1,0,1,1,1,1,1
0,1,1,1,0,1,0,0,0,1
0,0,1,1,1,1,1,0,0,1
0,0,1,1,0,1,0,1,0,0
1,0,1,0,0,0,0,1,0,1
1,1,1,1,1,1,1,0,1,1
1,1,1,0,0,0,0,0,1,0
1,0,0,1,0,0,1,0,0,0
0,0,1,1,1,1,0,1,1,0
0,0,1,1,1,1,0,1,0,0
0,0,1,0,1,1,0,1,0,1
0,0,0,0,0,0,1,0,1,0
1,0,1,0,1,0,0,1,1,0
1,1,1,1,1,1,0,0,0,0
0,0,1,1,1,1,0,1,1,1
1,1,0,1,0,0,1,0,0,0
1,1,1,0,1,1,0,1,1,1
0,1,1,0,1,0,0,1,1,0
1,1,0,0,0,0,0,0,0,1
1,0,0,0,0,1,1,0,1,1
0,1,1,1,0,0,1,1,1,1
0,0,0,0,1,0,1,1,0,1
1,1,0,0,1,1,1,0,0,0
0,0,1,0,0,0,0,1,0,1
0,0,0,1,1,1,0,1,0,1
0,1,1,1,1,1,1,1,1,1
0,0,1,0,1,1,0,0,1,1
0,1,0,0,0,0,1,0,1,0
0,0,0,0,1,0,1,0,1,0
0,0,0,1,1,1,0,0,0,0
1,1,1,1,1,0,1,1,1,1
1,0,0,1,0,1,0,0,1,1
0,0,0,0,0,0,0,1,1,1
0,0,1,1,0,1,0,1,1,1
0,1,0,1,0,1,1,1,1,1
0,1,0,1,1,1,0,1,0,1
1,1,1,0,1,0,0,1,0,1
1,0,1,1,0,1,1,1,1,1
0,0,1,1,0,1,0,0,0,0
0,0,0,0,1,1,1,1,1,0
0,0,1,1,0,1,1,1,1,1
0,0,0,0,0,0,1,1,1,0
0,0,0,0,0,0,0,1,0,1
0,1,0,0,0,0,1,0,1,0
0,0,1,0,0,0,1,1,1,0
0,0,1,0,1,0,0,0,1,0
0,0,1,1,1,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
1,1,1,1,1,1,0,1,1,0
1,1,1,1,0,0,1,0,1,1
1,1,1,0,1,1,1,0,0,0
1,0,1,0,1,0,1,1,1,1
1,0,0,1,1,1,0,1,0,0
0,0,0,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,0,1
0,1,0,1,1,1,1,1,1,1
1,0,0,0,0,0,1,0,0,1
0,1,0,1,1,0,0,1,0,1
0,0,1,1,1,1,1,1,1,1
0,1,1,1,1,1,0,0,1,0
0,0,1,0,1,1,1,1,1,1
1,0,1,1,1,1,1,0,1,1
0,1,1,1,1,1,1,1,1,1
1,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,1,1,0,1
1,1,1,1,0,1,0,0,0,1
0,1,1,0,1,0,1,1,1,1
1,0,0,0,0,0,0,1,0,1
